year,month,burn_trt,watershed,block,plot,contents,tube_mass,combined_mass,biomass
2024,8,unburned,20C,A,3,other,1122.03,1128.56,0.00653
2024,8,unburned,20C,A,3,orthoptera,1100.06,1102.46,0.0024
2024,8,annual,1D,C,5,other,1080.55,1082.66,0.00211
2024,8,annual,1D,C,5,orthoptera,1088.33,1107.46,0.01913
2024,8,unburned,20C,C,3,other,1086.73,1090. 66,0.00393
2024,8,unburned,20C,C,5,other,1091.04,1104.9,0.01386
2024,8,unburned,20C,C,5,orthoptera,1092.67,1105.33,0.01266
2024,8,unburned,20C,A,6,other,1059.15,1068.91,0.00976
2024,8,unburned,20C,C,4,other,1106.8,1112.79,0.00599
2024,8,unburned,20C,C,4,orthoptera,1096.32,1159.85,0.06353
2024,8,unburned,20C,A,2,other,1104.35,1110.29,0.00594
2024,8,unburned,20C,A,2,orthoptera,1110.24,1112.55,0.00231
2024,8,unburned,20B,E,3,other,1108.29,1112.41,0.00412
2024,8,unburned,20B,E,3,orthoptera,1083.85,1084.33,0.00048
2024,8,annual,1D,C,4,other,1090.43,1120.22,0.02979
2024,8,annual,1D,C,4,orthoptera,1078.55,1092.84,0.01429
2024,8,unburned,20C,C,6,other,1099.81,1100.11,0.0003
2024,8,unburned,20C,C,6,orthoptera,1083.8,1091.86,0.00806
2024,8,unburned,20C,C,1,other,1088.78,1100.95,0.01217
2024,8,unburned,20B,F,2,other,1124.28,1154.82,0.03054
2024,8,annual,1D,C,2,other,1092.61,1105.14,0.01253
2024,8,annual,1D,C,2,orthoptera,1069.46,1142.65,0.07319
2024,8,unburned,20B,E,4,other,1072.77,1083.72,0.01095
2024,8,annual,1D,C,3,other,1099.1,1101.9,0.0028
2024,8,annual,1D,C,1,other,1119.54,1137.01,0.01747
2024,8,unburned,20C,A,4,other,1085.61,1095.17,0.00956
2024,8,annual,1D,B ,1,other,6936.59,6972.87,0.03628
2024,8,annual,1D,B ,1,orthoptera,6857.76,7066.95,0.20919
2024,8,annual,1D,A,4,other,1058.35,1082.56,0.02421
2024,8,annual,1D,A,4,orthoptera,1108.65,1137.53,0.02888
2024,8,unburned,20C,B ,2,other,1113.63,1123.47,0.00984
2024,8,unburned,20C,B ,2,orthoptera,1124.78,1146.91,0.02213
2024,8,unburned,20C,A,1,other,1119.87,1171.95,0.05208
2024,8,unburned,20C,A,1,orthoptera,1173.5,1182.71,0.00921
2024,8,unburned,20C,B ,1,other,1138.96,1163.53,0.02457
2024,8,unburned,20C,A,5,other,1036.74,1048.4,0.01166
2024,8,unburned,20C,A,5,orthoptera,1159.72,1167.1,0.00738
2024,8,annual,1D,B ,2,oher,1096.79,1118.21,0.02142
2024,8,annual,1D,B ,2,orthoptera,1053.68,1116.89,0.06321
2024,8,annual,1D,A,5,other,1037.85,1062.64,0.02479
2024,8,annual,1D,C,6,other,1120.5,1123.97,0.00347
2024,8,annual,1D,B ,6,other,1120.51,1137.16,0.01665
2024,8,annual,1D,A,2,other,1086.24,1094.79,0.00855
2024,8,annual,1D,A,2,orthoptera,1125.32,1131.54,0.00622
2024,8,annual,1D,A,3,other,1118.85,1128.32,0.00947
2024,8,annual,1D,A,3,orthoptera,1126.23,1168.39,0.04216
2024,8,annual,1D,A,6,other,1124.17,1133.52,0.00935
2024,8,annual,1D,B ,5,other,1108.68,1116.8,0.00812
2024,8,annual,1D,B ,3,other,1129.82,1142.87,0.01305
2024,8,annual,1D,B ,3,orthoptera,1085.71,1087.75,0.00204
2024,8,annual,1D,B ,4,other,1069.86,1088.18,0.01832
2024,8,annual,1D,B ,4,orthoptera,1094.52,1121.22,0.0267
2024,8,annual,1D,A,1,other,1088.61,1114.01,0.0254
2024,8,annual,1D,A,1,orthoptera,1073.59,1107.46,0.03387
