year,month,burn_trt,watershed,block,plot,order,family,arthropod_ID,stage,collected,count
2014,8,Unburned,20C,A,3,Hemiptera:Heteroptera,Reduviidae,Hemiptera:Heteroptera_Reduviidae,nymph,collected,2
2014,8,Unburned,20C,A,3,Hemiptera:Heteroptera,Miridae,Hemiptera:Heteroptera_Miridae,adult,collected,2
2014,8,Unburned,20C,A,3,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,4
2014,8,Unburned,20C,A,3,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,1
2014,8,Unburned,20C,A,3,Araneae,Salticidae,Araneae_Salticidae,adult,collected,2
2014,8,Unburned,20C,A,3,Acari,Acari,Acari_Acari,adult,collected,1
2014,8,Unburned,20C,A,3,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,2
2014,8,Unburned,20C,A,3,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,3
2014,8,Unburned,20C,A,3,Hemiptera:Auchenorrhyncha,Membracidae,Hemiptera:Auchenorrhyncha_Membracidae,adult,collected,1
2014,8,Unburned,20C,A,3,Hymenoptera,Eupelmidae,Hymenoptera_Eupelmidae,adult,collected,1
2014,8,Unburned,20C,A,4,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,collected,2
2014,8,Unburned,20C,A,4,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,3
2014,8,Unburned,20C,A,4,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,4
2014,8,Unburned,20C,A,4,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,2
2014,8,Unburned,20C,A,4,Hemiptera:Auchenorrhyncha,Membracidae,Hemiptera:Auchenorrhyncha_Membracidae,adult,collected,1
2014,8,Unburned,20C,A,4,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,1
2014,8,Unburned,20C,A,4,Diptera,Chloropidae,Diptera_Chloropidae,adult,collected,3
2014,8,Unburned,20C,A,4,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,2
2014,8,Unburned,20C,A,4,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,5
2014,8,Unburned,20C,A,4,Araneae,Salticidae,Araneae_Salticidae,adult,collected,1
2014,8,Unburned,20C,A,4,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,4
2014,8,Unburned,20C,A,4,Araneae,Lycosidae,Araneae_Lycosidae,adult,collected,4
2014,8,Unburned,20C,A,4,Hymenoptera,Platygasteridae,Hymenoptera_Platygasteridae,adult,collected,1
2014,8,Unburned,20C,A,5,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,1
2014,8,Unburned,20C,A,5,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,11
2014,8,Unburned,20C,A,5,Hemiptera:Heteroptera,Reduviidae,Hemiptera:Heteroptera_Reduviidae,nymph,collected,2
2014,8,Unburned,20C,A,5,Hemiptera:Auchenorrhyncha,Membracidae,Hemiptera:Auchenorrhyncha_Membracidae,adult,collected,2
2014,8,Unburned,20C,A,5,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,2
2014,8,Unburned,20C,A,5,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,1
2014,8,Unburned,20C,A,5,Araneae,Salticidae,Araneae_Salticidae,adult,collected,2
2014,8,Unburned,20C,A,5,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,5
2014,8,Unburned,20C,A,5,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,1
2014,8,Unburned,20C,A,5,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,4
2014,8,Unburned,20C,A,5,Hymenoptera,Eupelmidae,Hymenoptera_Eupelmidae,adult,collected,1
2014,8,Unburned,20C,A,5,Hemiptera:Heteroptera,Miridae,Hemiptera:Heteroptera_Miridae,adult,collected,1
2014,8,Unburned,20C,A,5,Hemiptera:Sternorrhyncha,Aphididae,Hemiptera:Sternorrhyncha_Aphididae,adult,collected,1
2014,8,Unburned,20C,A,6,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,2
2014,8,Unburned,20C,A,6,Lepidoptera,Crambidae,Lepidoptera_Crambidae,adult,collected,1
2014,8,Unburned,20C,A,6,Hemiptera:Heteroptera,Reduviidae,Hemiptera:Heteroptera_Reduviidae,nymph,collected,1
2014,8,Unburned,20C,A,6,Acari,Acari,Acari_Acari,adult,collected,1
2014,8,Unburned,20C,A,6,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,2
2014,8,Unburned,20C,A,6,Hymenoptera,Mymaridae,Hymenoptera_Mymaridae,adult,collected,1
2014,8,Unburned,20C,A,6,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,1
2014,8,Unburned,20C,A,6,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,1
2014,8,Unburned,20C,A,6,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,1
2014,8,Unburned,20C,A,6,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,5
2014,8,Unburned,20C,A,6,Araneae,Salticidae,Araneae_Salticidae,adult,collected,1
2014,8,Unburned,20C,B,1,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,1
2014,8,Unburned,20C,B,1,Orthoptera,Tettigonidae,Orthoptera_Tettigonidae,adult,observed,1
2014,8,Unburned,20C,B,1,Coleoptera,Curculionidae,Coleoptera_Curculionidae,adult,collected,1
2014,8,Unburned,20C,B,1,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,3
2014,8,Unburned,20C,B,1,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,3
2014,8,Unburned,20C,B,1,Hemiptera:Heteroptera,Miridae,Hemiptera:Heteroptera_Miridae,adult,collected,1
2014,8,Unburned,20C,B,1,Hymenoptera,Halictidae,Hymenoptera_Halictidae,adult,collected,1
2014,8,Unburned,20C,B,1,Araneae,Salticidae,Araneae_Salticidae,adult,collected,2
2014,8,Unburned,20C,B,1,Araneae,Lycosidae,Araneae_Lycosidae,adult,collected,1
2014,8,Unburned,20C,B,1,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,8
2014,8,Unburned,20C,B,1,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,1
2014,8,Unburned,20C,B,1,Hymenoptera,Mymaridae,Hymenoptera_Mymaridae,adult,collected,1
2014,8,Unburned,20C,B,1,Acari,Acari,Acari_Acari,adult,collected,1
2014,8,Unburned,20C,B,2,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,1
2014,8,Unburned,20C,B,2,Hemiptera:Auchenorrhyncha,Membracidae,Hemiptera:Auchenorrhyncha_Membracidae,adult,collected,2
2014,8,Unburned,20C,B,2,Hymenoptera,Ichneumonidae,Hymenoptera_Ichneumonidae,adult,collected,1
2014,8,Unburned,20C,B,2,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,3
2014,8,Unburned,20C,B,2,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,3
2014,8,Unburned,20C,B,2,Araneae,Salticidae,Araneae_Salticidae,adult,collected,1
2014,8,Unburned,20C,B,2,Diptera,Chloropidae,Diptera_Chloropidae,adult,collected,1
2014,8,Unburned,20C,B,3,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,3
2014,8,Unburned,20C,B,3,Hemiptera:Heteroptera,Miridae,Hemiptera:Heteroptera_Miridae,adult,collected,2
2014,8,Unburned,20C,B,3,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,6
2014,8,Unburned,20C,B,3,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,3
2014,8,Unburned,20C,B,3,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,8
2014,8,Unburned,20C,B,3,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,1
2014,8,Unburned,20C,B,3,Hymenoptera,Mymaridae,Hymenoptera_Mymaridae,adult,collected,1
2014,8,Unburned,20C,B,3,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,6
2014,8,Unburned,20C,B,4,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,1
2014,8,Unburned,20C,B,4,Orthoptera,Gryllidae,Orthoptera_Gryllidae,adult,collected,1
2014,8,Unburned,20C,B,4,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,3
2014,8,Unburned,20C,B,4,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,4
2014,8,Unburned,20C,B,4,Hemiptera:Auchenorrhyncha,Membracidae,Hemiptera:Auchenorrhyncha_Membracidae,adult,collected,1
2014,8,Unburned,20C,B,4,Hemiptera:Heteroptera,Miridae,Hemiptera:Heteroptera_Miridae,adult,collected,2
2014,8,Unburned,20C,B,4,Coleoptera,Curculionidae,Coleoptera_Curculionidae,adult,collected,1
2014,8,Unburned,20C,B,4,Hemiptera:Heteroptera,Reduviidae,Hemiptera:Heteroptera_Reduviidae,nymph,collected,1
2014,8,Unburned,20C,B,4,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,5
2014,8,Unburned,20C,B,4,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,2
2014,8,Unburned,20C,B,4,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,1
2014,8,Unburned,20C,B,4,Hymenoptera,Mymaridae,Hymenoptera_Mymaridae,adult,collected,1
2014,8,Unburned,20C,B,4,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,1
2014,8,Unburned,20C,B,4,Araneae,Araneidae,Araneae_Araneidae,adult,collected,2
2014,8,Unburned,20C,B,4,Araneae,Salticidae,Araneae_Salticidae,adult,collected,1
2014,8,Unburned,20C,B,5,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,3
2014,8,Unburned,20C,B,5,Orthoptera,Tettigonidae,Orthoptera_Tettigonidae,adult,observed,1
2014,8,Unburned,20C,B,5,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,1
2014,8,Unburned,20C,B,5,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,9
2014,8,Unburned,20C,B,5,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,1
2014,8,Unburned,20C,B,5,Araneae,Salticidae,Araneae_Salticidae,adult,collected,1
2014,8,Unburned,20C,B,5,Hemiptera:Auchenorrhyncha,Membracidae,Hemiptera:Auchenorrhyncha_Membracidae,adult,collected,2
2014,8,Unburned,20C,B,5,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,2
2014,8,Unburned,20C,B,5,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,5
2014,8,Unburned,20C,B,5,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,4
2014,8,Unburned,20C,B,5,Acari,Acari,Acari_Acari,adult,collected,1
2014,8,Unburned,20C,B,5,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,6
2014,8,Unburned,20C,B,5,Hemiptera:Heteroptera,Miridae,Hemiptera:Heteroptera_Miridae,adult,collected,1
2014,8,Unburned,20C,B,6,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,5
2014,8,Unburned,20C,B,6,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,collected,1
2014,8,Unburned,20C,B,6,Lepidoptera,Crambidae,Lepidoptera_Crambidae,adult,observed,1
2014,8,Unburned,20C,B,6,Hemiptera:Heteroptera,Reduviidae,Hemiptera:Heteroptera_Reduviidae,nymph,collected,1
2014,8,Unburned,20C,B,6,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,2
2014,8,Unburned,20C,B,6,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,4
2014,8,Unburned,20C,B,6,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,9
2014,8,Unburned,20C,B,6,Hemiptera:Heteroptera,Miridae,Hemiptera:Heteroptera_Miridae,adult,collected,2
2014,8,Unburned,20C,B,6,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,2
2014,8,Unburned,20C,B,6,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,1
2014,8,Unburned,20C,B,6,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,1
2014,8,Unburned,20C,C,1,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,16
2014,8,Unburned,20C,C,1,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,4
2014,8,Unburned,20C,C,1,Hemiptera:Auchenorrhyncha,Membracidae,Hemiptera:Auchenorrhyncha_Membracidae,adult,collected,2
2014,8,Unburned,20C,C,1,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,6
2014,8,Unburned,20C,C,1,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,1
2014,8,Unburned,20C,C,1,Hymenoptera,Eupelmidae,Hymenoptera_Eupelmidae,adult,collected,1
2014,8,Unburned,20C,C,1,Araneae,Salticidae,Araneae_Salticidae,adult,collected,1
2014,8,Unburned,20C,C,1,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,3
2014,8,Unburned,20C,C,1,Hemiptera:Sternorrhyncha,Aphididae,Hemiptera:Sternorrhyncha_Aphididae,adult,collected,1
2014,8,Unburned,20C,C,2,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,3
2014,8,Unburned,20C,C,2,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,4
2014,8,Unburned,20C,C,2,Araneae,Salticidae,Araneae_Salticidae,adult,collected,1
2014,8,Unburned,20C,C,2,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,5
2014,8,Unburned,20C,C,2,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,5
2014,8,Unburned,20C,C,2,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,2
2014,8,Unburned,20C,C,2,Hemiptera:Sternorrhyncha,Aphididae,Hemiptera:Sternorrhyncha_Aphididae,adult,collected,2
2014,8,Unburned,20C,C,2,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,2
2014,8,Unburned,20C,C,3,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,1
2014,8,Unburned,20C,C,3,Hemiptera:Heteroptera,Reduviidae,Hemiptera:Heteroptera_Reduviidae,nymph,collected,1
2014,8,Unburned,20C,C,3,Araneae,Lycosidae,Araneae_Lycosidae,adult,collected,1
2014,8,Unburned,20C,C,3,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,4
2014,8,Unburned,20C,C,3,Araneae,Araneidae,Araneae_Araneidae,adult,collected,1
2014,8,Unburned,20C,C,3,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,6
2014,8,Unburned,20C,C,3,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,1
2014,8,Unburned,20C,C,3,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,19
2014,8,Unburned,20C,C,3,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,2
2014,8,Unburned,20C,C,3,Hymenoptera,Mymaridae,Hymenoptera_Mymaridae,adult,collected,1
2014,8,Unburned,20C,C,3,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,1
2014,8,Unburned,20C,C,3,Hymenoptera,Eupelmidae,Hymenoptera_Eupelmidae,adult,collected,1
2014,8,Unburned,20C,C,3,Hymenoptera,Ichneumonidae,Hymenoptera_Ichneumonidae,adult,collected,1
2014,8,Unburned,20C,C,4,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,1
2014,8,Unburned,20C,C,5,Hemiptera:Heteroptera,Reduviidae,Hemiptera:Heteroptera_Reduviidae,nymph,collected,1
2014,8,Unburned,20C,C,5,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,1
2014,8,Unburned,20C,C,5,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,5
2014,8,Unburned,20C,C,5,Hemiptera:Auchenorrhyncha,Membracidae,Hemiptera:Auchenorrhyncha_Membracidae,adult,collected,1
2014,8,Unburned,20C,C,5,Hemiptera:Heteroptera,miridae,Hemiptera:Heteroptera_miridae,nymph,collected,1
2014,8,Unburned,20C,C,5,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,4
2014,8,Unburned,20C,C,5,Araneae,Salticidae,Araneae_Salticidae,adult,collected,2
2014,8,Unburned,20C,C,5,Araneae,Araneidae,Araneae_Araneidae,adult,collected,2
2014,8,Unburned,20C,C,5,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,3
2014,8,Unburned,20C,C,5,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,4
2014,8,Unburned,20C,C,5,Hymenoptera,Mymaridae,Hymenoptera_Mymaridae,adult,collected,1
2014,8,Unburned,20C,C,6,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,2
2014,8,Unburned,20C,C,6,Hemiptera:Auchenorrhyncha,Membracidae,Hemiptera:Auchenorrhyncha_Membracidae,adult,collected,2
2014,8,Unburned,20C,C,6,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,7
2014,8,Unburned,20C,C,6,Hymenoptera,Ichneumonidae,Hymenoptera_Ichneumonidae,adult,collected,1
2014,8,Unburned,20C,C,6,Diptera,Chloropidae,Diptera_Chloropidae,adult,collected,2
2014,8,Unburned,20C,C,6,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,1
2014,8,Unburned,20C,C,6,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,1
2014,8,Unburned,20C,C,6,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,3
2014,8,Unburned,20B,D,1,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,1
2014,8,Unburned,20B,D,1,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,7
2014,8,Unburned,20B,D,1,Coleoptera,Curculionidae,Coleoptera_Curculionidae,adult,collected,2
2014,8,Unburned,20B,D,1,Araneae,Salticidae,Araneae_Salticidae,adult,collected,1
2014,8,Unburned,20B,D,1,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,1
2014,8,Unburned,20B,D,1,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,3
2014,8,Unburned,20B,D,1,Hymenoptera,Formicidae,Hymenoptera_Formicidae,adult,collected,1
2014,8,Unburned,20B,D,2,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,4
2014,8,Unburned,20B,D,2,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,3
2014,8,Unburned,20B,D,2,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,10
2014,8,Unburned,20B,D,2,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,1
2014,8,Unburned,20B,D,2,Araneae,Salticidae,Araneae_Salticidae,adult,collected,1
2014,8,Unburned,20B,D,2,Hemiptera:Heteroptera,Miridae,Hemiptera:Heteroptera_Miridae,adult,collected,1
2014,8,Unburned,20B,D,2,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,3
2014,8,Unburned,20B,D,2,Phasmatodea,Heteronemiidae,Phasmatodea_Heteronemiidae,adult,collected,1
2014,8,Unburned,20B,D,3,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,1
2014,8,Unburned,20B,D,3,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,1
2014,8,Unburned,20B,D,3,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,5
2014,8,Unburned,20B,D,3,Lepidoptera,Crambidae,Lepidoptera_Crambidae,larvae,collected,1
2014,8,Unburned,20B,D,3,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,10
2014,8,Unburned,20B,D,3,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,1
2014,8,Unburned,20B,D,3,Araneae,Araneidae,Araneae_Araneidae,adult,collected,2
2014,8,Unburned,20B,D,4,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,4
2014,8,Unburned,20B,D,4,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,collected,1
2014,8,Unburned,20B,D,4,Orthoptera,Gryllidae,Orthoptera_Gryllidae,adult,collected,2
2014,8,Unburned,20B,D,4,Lepidoptera,Crambidae,Lepidoptera_Crambidae,adult,collected,1
2014,8,Unburned,20B,D,4,Lepidoptera,Crambidae,Lepidoptera_Crambidae,larvae,collected,1
2014,8,Unburned,20B,D,4,Acari,Acari,Acari_Acari,adult,collected,1
2014,8,Unburned,20B,D,4,Hemiptera:Auchenorrhyncha,Dictyopharidae,Hemiptera:Auchenorrhyncha_Dictyopharidae,adult,collected,1
2014,8,Unburned,20B,D,4,Hemiptera:Heteroptera,Tingidae,Hemiptera:Heteroptera_Tingidae,adult,collected,1
2014,8,Unburned,20B,D,4,Hemiptera:Heteroptera,Miridae,Hemiptera:Heteroptera_Miridae,adult,collected,2
2014,8,Unburned,20B,D,4,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,4
2014,8,Unburned,20B,D,4,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,1
2014,8,Unburned,20B,D,4,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,6
2014,8,Unburned,20B,D,4,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,3
2014,8,Unburned,20B,D,4,Araneae,Araneidae,Araneae_Araneidae,adult,collected,2
2014,8,Unburned,20B,D,4,Araneae,Salticidae,Araneae_Salticidae,adult,collected,2
2014,8,Unburned,20B,D,4,Araneae,Lycosidae,Araneae_Lycosidae,adult,collected,1
2014,8,Unburned,20B,D,4,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,9
2014,8,Unburned,20B,D,5,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,5
2014,8,Unburned,20B,D,5,Orthoptera,Gryllidae,Orthoptera_Gryllidae,adult,collected,1
2014,8,Unburned,20B,D,5,Araneae,Araneidae,Araneae_Araneidae,adult,collected,2
2014,8,Unburned,20B,D,5,Araneae,Salticidae,Araneae_Salticidae,adult,collected,2
2014,8,Unburned,20B,D,5,Araneae,Lycosidae,Araneae_Lycosidae,adult,collected,2
2014,8,Unburned,20B,D,5,Araneae,Linyphiidae,Araneae_Linyphiidae,adult,collected,13
2014,8,Unburned,20B,D,5,Acari,Acari,Acari_Acari,adult,collected,1
2014,8,Unburned,20B,D,5,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,3
2014,8,Unburned,20B,D,5,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,3
2014,8,Unburned,20B,D,5,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,2
2014,8,Unburned,20B,D,6,Orthoptera,Acrididae,Orthoptera_Acrididae,adult,observed,3
2014,8,Unburned,20B,D,6,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,1
2014,8,Unburned,20B,D,6,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,4
