year,month,burn_trt,watershed,block,plot,order,family,arthropod_ID,stage,collected,count,plot_trt,litter_trt
2019,8,Unburned,20C,C,2,Araneae,Lycosidae,Araneae_Lycosidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,C,2,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,C,2,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,5,Control,Absent
2019,8,Unburned,20C,C,2,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,2,Control,Absent
2019,8,Unburned,20C,C,6,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,B ,4,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Collected,1,C ,Absent
2019,8,Unburned,20C,B,4,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,3,C ,Absent
2019,8,Unburned,20C,B,4,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,2,C ,Absent
2019,8,Unburned,20C,B,4,Hemiptera,Unknown,Hemiptera_Unknown,Adult,Collected,1,C ,Absent
2019,8,Unburned,20C,B,4,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,1,C ,Absent
2019,8,Unburned,20C,B,4,Hymenoptera,Braconidae,Hymenoptera_Braconidae,Adult,Collected,1,C ,Absent
2019,8,Unburned,20C,C,1,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,8,N,Absent
2019,8,Unburned,20C,C,1,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,2,N,Absent
2019,8,Unburned,20C,C,1,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,C,1,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,5,N,Absent
2019,8,Unburned,20C,C,1,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,C,1,Hemiptera,Reduviidae,Hemiptera_Reduviidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,C,1,Neuroptera,Hemerobiidae,Neuroptera_Hemerobiidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,C,1,Hymenoptera,Braconidae,Hymenoptera_Braconidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,C,1,Hemiptera,Tingidae,Hemiptera_Tingidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,B,6,Coleoptera,Curculionidae,Coleoptera_Curculionidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,B,6,Coleoptera,Byrrhidae,Coleoptera_Byrrhidae,Adult,Collected,3,N,Absent
2019,8,Unburned,20C,B,6,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,B,6,Hemiptera,Aphididae,Hemiptera_Aphididae,Nymph,Collected,4,N,Absent
2019,8,Unburned,20C,B,6,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Observed,1,N,Absent
2019,8,Unburned,20C,B,6,Hemiptera,Reduviidae,Hemiptera_Reduviidae,Nymph,Collected,1,N,Absent
2019,8,Unburned,20C,B,6,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,B,6,Hemiptera,Aphididae,Hemiptera_Aphididae,Nymph,Collected,4,N,Absent
2019,8,Unburned,20C,B,6,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,B,5,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,2,Control,Absent
2019,8,Unburned,20C,B,5,Araneae,Araneidae,Araneae_Araneidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,B,5,Lepidoptera,Unknown,Lepidoptera_Unknown,Nymph,Collected,1,Control,Absent
2019,8,Unburned,20C,B,5,Coleoptera,Byrrhidae,Coleoptera_Byrrhidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,B,5,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,3,Control,Absent
2019,8,Unburned,20C,B,5,Hemiptera,Reduviidae,Hemiptera_Reduviidae,Nymph,Collected,1,Control,Absent
2019,8,Unburned,20C,B,5,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,2,Control,Absent
2019,8,Unburned,20C,B,5,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,B,5,Lepidoptera,Geometridae,Lepidoptera_Geometridae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,B,5,Lepidoptera,Erebidae,Lepidoptera_Erebidae,Nymph,Collected,1,Control,Absent
2019,8,Unburned,20C,B,1,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Observed,1,C,Present
2019,8,Unburned,20C,B,1,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,B,1,Hemiptera,Reduviidae,Hemiptera_Reduviidae,Nymph,Collected,2,C,Present
2019,8,Unburned,20C,B,1,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,5,C,Present
2019,8,Unburned,20C,B,1,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,2,C,Present
2019,8,Unburned,20C,B,1,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Nymph,Collected,2,C,Present
2019,8,Unburned,20C,B,1,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,2,C,Present
2019,8,Unburned,20C,B,1,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,15,C,Present
2019,8,Unburned,20C,B,1,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,2,C,Present
2019,8,Unburned,20C,B,1,Hymenoptera,Platygastridae,Hymenoptera_Platygastridae,Adult,Collected,4,C,Present
2019,8,Unburned,20C,B,1,Hemiptera,Mesoveliidae,Hemiptera_Mesoveliidae,Adult,Collected,6,C,Present
2019,8,Unburned,20C,B,1,Thysanoptera,Thripidae,Thysanoptera_Thripidae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,B,1,Hymenoptera,Braconidae,Hymenoptera_Braconidae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,B,1,Diptera,Tachinidae,Diptera_Tachinidae,Adult,Collected,3,C,Present
2019,8,Unburned,20C,B,1,Hymenoptera,Chrysididae,Hymenoptera_Chrysididae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,B,1,Hymenoptera,Pipunculidae,Hymenoptera_Pipunculidae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,B,3,Orthoptera,Tettigoniidae,Orthoptera_Tettigoniidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,B,3,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,5,N,Present
2019,8,Unburned,20C,B,3,Coleoptera,Byrrhidae,Coleoptera_Byrrhidae,Adult,Collected,3,N,Present
2019,8,Unburned,20C,B,3,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,B,3,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Nymph,Collected,1,N,Present
2019,8,Unburned,20C,B,3,Thysanoptera,Thripidae,Thysanoptera_Thripidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,B,3,Hemiptera,Lygaeidae,Hemiptera_Lygaeidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,B,3,Hemiptera,Pleidae,Hemiptera_Pleidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,B,3,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,109,N,Present
2019,8,Unburned,20C,B,3,Hemiptera,Mesoveliidae,Hemiptera_Mesoveliidae,Adult,Collected,2,N,Present
2019,8,Unburned,20C,B,3,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,B,3,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,4,N,Present
2019,8,Unburned,20C,B,3,Hymenoptera,Eurytomidae,Hymenoptera_Eurytomidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,A,2,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,6,Control,Absent
2019,8,Unburned,20C,A,2,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,2,Control,Absent
2019,8,Unburned,20C,A,2,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,10,Control,Absent
2019,8,Unburned,20C,A,2,Lepidoptera,Unknown,Lepidoptera_Unknown,Nymph,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Thysanoptera,Thripidae,Thysanoptera_Thripidae,Adult,Collected,4,Control,Absent
2019,8,Unburned,20C,A,2,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,3,Control,Absent
2019,8,Unburned,20C,A,2,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,3,Control,Absent
2019,8,Unburned,20C,A,2,Diptera,Chloropidae,Diptera_Chloropidae,Adult,Collected,4,Control,Absent
2019,8,Unburned,20C,A,2,Coleoptera,Curculionidae,Coleoptera_Curculionidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Mantodea,Mantidae,Mantodea_Mantidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Coleoptera,Mordellidae,Coleoptera_Mordellidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Hymenoptera,Dryinidae,Hymenoptera_Dryinidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Thysanoptera,Thripidae,Thysanoptera_Thripidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,A,2,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Nymph,Collected,1,Control,Absent
2019,8,Unburned,20C,A,3,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,5,N,Absent
2019,8,Unburned,20C,A,3,Hemiptera,Mesoveliidae,Hemiptera_Mesoveliidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Nymph,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,2,N,Absent
2019,8,Unburned,20C,A,3,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Hemiptera,Reduviidae,Hemiptera_Reduviidae,Nymph,Collected,2,N,Absent
2019,8,Unburned,20C,A,3,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Diptera,Chloropidae,Diptera_Chloropidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Thysanoptera,Thripidae,Thysanoptera_Thripidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Coleoptera,Curculionidae,Coleoptera_Curculionidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,3,N,Absent
2019,8,Unburned,20C,A,3,Coleoptera,Curculionidae,Coleoptera_Curculionidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Nymph,Collected,1,N,Absent
2019,8,Unburned,20C,A,3,Araneae,Araneidae,Araneae_Araneidae,Adult,Collected,1,N,Absent
2019,8,Unburned,20C,A,6,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,15,N,Present
2019,8,Unburned,20C,A,6,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,7,N,Present
2019,8,Unburned,20C,A,6,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Nymph,Collected,1,N,Present
2019,8,Unburned,20C,A,6,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,2,N,Present
2019,8,Unburned,20C,A,6,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,4,N,Present
2019,8,Unburned,20C,A,6,Araneae,Lycosidae,Araneae_Lycosidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,A,6,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,A,6,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,3,N,Present
2019,8,Unburned,20C,A,6,Hymenoptera,Platygastridae,Hymenoptera_Platygastridae,Adult,Collected,3,N,Present
2019,8,Unburned,20C,A,6,Thysanoptera,Thripidae,Thysanoptera_Thripidae,Adult,Collected,4,N,Present
2019,8,Unburned,20C,A,6,Hemiptera,Tingidae,Hemiptera_Tingidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,A,6,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,4,N,Present
2019,8,Unburned,20C,A,6,Hymenoptera,Pergidae,Hymenoptera_Pergidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,A,6,Araneae,Unknown,Araneae_Unknown,Adult,Collected,1,N,Present
2019,8,Unburned,20C,A,6,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Nymph,Collected,3,N,Present
2019,8,Unburned,20C,A,6,Hemiptera,Pleidae,Hemiptera_Pleidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,A,6,Hymenoptera,Braconidae,Hymenoptera_Braconidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,A,6,Araneae,Oribatida,Araneae_Oribatida,Adult,Collected,2,N,Present
2019,8,Unburned,20C,A,1,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,1,C ,Absent
2019,8,Unburned,20C,A,1,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,2,C ,Absent
2019,8,Unburned,20C,A,1,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,5,C ,Absent
2019,8,Unburned,20C,A,1,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,9,C ,Absent
2019,8,Unburned,20C,A,1,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,5,C ,Absent
2019,8,Unburned,20C,A,1,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Observed,1,C ,Absent
2019,8,Unburned,20C,A,1,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,2,C ,Absent
2019,8,Unburned,20C,A,1,Hymenoptera,Braconidae,Hymenoptera_Braconidae,Adult,Collected,3,C ,Absent
2019,8,Unburned,20C,A,1,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Nymph,Collected,2,C ,Absent
2019,8,Unburned,20C,A,1,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,4,C ,Absent
2019,8,Unburned,20C,A,1,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,5,C ,Absent
2019,8,Unburned,20C,A,1,Hemiptera,Pentatomidae,Hemiptera_Pentatomidae,Adult,Collected,2,C ,Absent
2019,8,Unburned,20C,A,1,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,2,C ,Absent
2019,8,Unburned,20C,A,1,Dermaptera,Forficulidae,Dermaptera_Forficulidae,Adult,Collected,1,C ,Absent
2019,8,Unburned,20C,A,1,Hemiptera,Dictyophidae,Hemiptera_Dictyopharidae,Adult,Collected,1,C ,Absent
2019,8,Unburned,20C,A,1,Araneae,Araneidae,Araneae_Araneidae,Adult,Collected,1,C ,Absent
2019,8,Unburned,20C,A,1,Diptera,Unknown,Diptera_Unknown,Adult,Collected,4,C ,Absent
2019,8,Unburned,20C,A,1,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,1,C ,Absent
2019,8,Unburned,20C,A,4,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Observed,1,C,Present
2019,8,Unburned,20C,A,4,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,A,4,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,2,C,Present
2019,8,Unburned,20C,A,4,Coleoptera,Curculionidae,Coleoptera_Curculionidae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,A,4,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,4,C,Present
2019,8,Unburned,20C,A,4,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,2,C,Present
2019,8,Unburned,20C,A,4,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,2,C,Present
2019,8,Unburned,20C,A,4,Hymenoptera,Braconidae,Hymenoptera_Braconidae,Adult,Collected,2,C,Present
2019,8,Unburned,20C,A,4,Diptera,Simuliidae,Diptera_Simuliidae,Adult,Collected,1,C,Present
2019,8,Annual,1D,C,4,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Observed,7,N,Present
2019,8,Annual,1D,C,4,Hemiptera,Blissidae,Hemiptera_Blissidae,Adult,Collected,4,N,Present
2019,8,Annual,1D,C,4,Hemiptera,Delphacidae,Hemiptera_Delphacidae,Adult,Collected,3,N,Present
2019,8,Annual,1D,C,4,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,3,N,Present
2019,8,Annual,1D,C,4,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,1,N,Present
2019,8,Annual,1D,C,4,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,1,N,Present
2019,8,Annual,1D,C,4,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,19,N,Present
2019,8,Annual,1D,C,4,Hymenoptera,Pompilidae,Hymenoptera_Pompilidae,Adult,Collected,1,N,Present
2019,8,Annual,1D,C,4,Diptera,Chloropidae,Diptera_Chloropidae,Adult,Collected,1,N,Present
2019,8,Annual,1D,C,4,Coleoptera,Coccinellidae,Coleoptera_Coccinellidae,Adult,Collected,12,N,Present
2019,8,Annual,1D,C,1,Hemiptera,Tingidae,Hemiptera_Tingidae,Adult,Collected,2,N,Absent
2019,8,Annual,1D,C,1,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,7,N,Absent
2019,8,Annual,1D,C,1,Coleoptera,Coccinellidae,Coleoptera_Coccinellidae,Adult,Collected,5,N,Absent
2019,8,Annual,1D,C,1,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,1,N,Absent
2019,8,Annual,1D,C,1,Hymenoptera,Platygastridae,Hymenoptera_Platygastridae,Adult,Collected,1,N,Absent
2019,8,Annual,1D,C,1,Thysanoptera,Thripidae,Thysanoptera_Thripidae,Adult,Collected,7,N,Absent
2019,8,Annual,1D,C,1,Hemiptera,Reduviidae,Hemiptera_Reduviidae,Adult,Collected,1,N,Absent
2019,8,Annual,1D,C,1,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,45,N,Absent
2019,8,Annual,1D,C,3,Lepidoptera,Unknown,Lepidoptera_Unknown,Nymph,Collected,1,C ,Absent
2019,8,Annual,1D,C,3,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,13,C ,Absent
2019,8,Annual,1D,C,3,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,3,C ,Absent
2019,8,Annual,1D,C,3,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,2,C ,Absent
2019,8,Annual,1D,C,3,Hymenoptera,Platygastridae,Hymenoptera_Platygastridae,Adult,Collected,2,C ,Absent
2019,8,Annual,1D,C,3,Coleoptera,Coccinellidae,Coleoptera_Coccinellidae,Adult,Collected,19,C ,Absent
2019,8,Annual,1D,C,3,Coleoptera,Dermestidae,Coleoptera_Dermestidae,Nymph,Collected,14,C ,Absent
2019,8,Annual,1D,C,3,Acari,Trombidiidae,Acari_Trombidiidae,Adult,Collected,2,C ,Absent
2019,8,Annual,1D,C,3,Thysanoptera,Thripidae,Thysanoptera_Thripidae,Adult,Collected,3,C ,Absent
2019,8,Annual,1D,C,3,Hymenoptera,Braconidae,Hymenoptera_Braconidae,Adult,Collected,1,C ,Absent
2019,8,Annual,1D,C,3,Hemiptera,Lygaeidae,Hemiptera_Lygaeidae,Adult,Collected,2,C ,Absent
2019,8,Annual,1D,B,6,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Observed,8,C ,Absent
2019,8,Annual,1D,B,6,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,5,C ,Absent
2019,8,Annual,1D,B,6,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Nymph,Collected,2,C ,Absent
2019,8,Annual,1D,B,6,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,6,C ,Absent
2019,8,Annual,1D,B,6,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,6,C ,Absent
2019,8,Annual,1D,B,6,Coleoptera,Coccinellidae,Coleoptera_Coccinellidae,Adult,Collected,2,C ,Absent
2019,8,Annual,1D,B,6,Hemiptera,Lygaeidae,Hemiptera_Lygaeidae,Adult,Collected,2,C ,Absent
2019,8,Annual,1D,B,6,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,2,C ,Absent
2019,8,Annual,1D,B,6,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,1,C ,Absent
2019,8,Annual,1D,B,6,Hemiptera,Tingidae,Hemiptera_Tingidae,Adult,Collected,1,C ,Absent
2019,8,Annual,1D,B,6,Hymenoptera,Eurytomidae,Hymenoptera_Formicidae,Adult,Collected,1,C ,Absent
2019,8,Annual,1D,B,5,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Observed,2,Control,Absent
2019,8,Annual,1D,B,5,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,3,Control,Absent
2019,8,Annual,1D,B,5,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,1,Control,Absent
2019,8,Annual,1D,B,5,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,4,Control,Absent
2019,8,Annual,1D,B,5,Coleoptera,Coccinellidae,Coleoptera_Coccinellidae,Adult,Collected,5,Control,Absent
2019,8,Annual,1D,B,5,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,1,Control,Absent
2019,8,Annual,1D,B,5,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Nymph,Collected,1,Control,Absent
2019,8,Annual,1D,B,5,Hymenoptera,Orussidae,Hymenoptera_Orussidae,Nymph,Collected,1,Control,Absent
2019,8,Annual,1D,B,5,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,2,Control,Absent
2019,8,Annual,1D,B,5,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,3,Control,Absent
2019,8,Annual,1D,B,5,Hemiptera,Lygaeidae,Hemiptera_Lygaeidae,Adult,Collected,3,Control,Absent
2019,8,Annual,1D,B,5,Hymenoptera,Chalcodoidea,Hymenoptera_Chalcodoidae,Adult,Collected,1,Control,Absent
2019,8,Annual,1D,B,5,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Nymph,Collected,2,Control,Absent
2019,8,Annual,1D,B,4,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Observed,4,N,Absent
2019,8,Annual,1D,B,4,Hemiptera,Lygaeidae,Hemiptera_Lygaeidae,Adult,Collected,1,N,Absent
2019,8,Annual,1D,B,4,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,30,N,Absent
2019,8,Annual,1D,B,4,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Nymph,Collected,3,N,Absent
2019,8,Annual,1D,B,4,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,1,N,Absent
2019,8,Annual,1D,B,4,Lepidoptera,Unknown,Lepidoptera_Unknown,Nymph,Collected,1,N,Absent
2019,8,Annual,1D,B,4,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,3,N,Absent
2019,8,Annual,1D,B,4,Coleoptera,Coccinellidae,Coleoptera_Coccinellidae,Adult,Collected,12,N,Absent
2019,8,Annual,1D,B,4,Hymenoptera,Platygastridae,Hymenoptera_Platygastridae,Adult,Collected,2,N,Absent
2019,8,Annual,1D,B,4,Thysanoptera,Thripidae,Thysanoptera_Thripidae,Adult,Collected,1,N,Absent
